2026-07-08 16:49:51,264 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:49:51,270 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8628151359)
2026-07-08 16:49:55,242 | INFO | aiogram.dispatcher | Connection established (tryings = 1, bot id = 8628151359)
2026-07-08 16:49:55,564 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:49:55,568 | WARNING | aiogram.dispatcher | Sleep for 5.237167 seconds and try again... (tryings = 7, bot id = 8628151359)
2026-07-08 16:49:55,755 | INFO | aiogram.event | Update id=272691264 is handled. Duration 505 ms by bot id=8628151359
2026-07-08 16:50:01,081 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:50:01,086 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8628151359)
2026-07-08 16:50:01,497 | INFO | aiogram.dispatcher | Connection established (tryings = 8, bot id = 8628151359)
2026-07-08 16:50:01,507 | INFO | aiogram.event | Update id=272691265 is not handled. Duration 2 ms by bot id=8628151359
2026-07-08 16:50:05,292 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:50:05,295 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8628151359)
2026-07-08 16:50:06,612 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:50:06,614 | WARNING | aiogram.dispatcher | Sleep for 1.175321 seconds and try again... (tryings = 1, bot id = 8628151359)
2026-07-08 16:50:11,082 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:50:11,083 | WARNING | aiogram.dispatcher | Sleep for 1.401037 seconds and try again... (tryings = 1, bot id = 8628151359)
2026-07-08 16:50:12,754 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:50:12,756 | WARNING | aiogram.dispatcher | Sleep for 1.566085 seconds and try again... (tryings = 2, bot id = 8628151359)
2026-07-08 16:50:17,567 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:50:17,569 | WARNING | aiogram.dispatcher | Sleep for 1.768426 seconds and try again... (tryings = 2, bot id = 8628151359)
